City,County,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
skalistyy,ru,1509314701,61.04,30.13,4.06,100,92,3.67
kemijarvi,fi,1509314702,66.67,27.42,-0.49,100,92,4.52
harper,lr,1509314703,4.38,-7.72,26.71,100,64,2.52
aklavik,ca,1509310800,68.22,-135.01,-2.0,86,75,1.0
hovd,mn,1509314703,48.01,91.64,-6.69,64,8,1.67
ranong,th,1509314472,9.97,98.63,26.86,100,0,3.92
vila velha,br,1509310800,-20.33,-40.29,26.0,78,40,5.7
thompson,ca,1509310800,55.74,-97.86,-3.0,79,75,5.7
punta arenas,cl,1509310800,-53.15,-70.92,9.0,70,75,6.7
cabedelo,br,1509310800,-6.98,-34.83,26.0,78,75,4.1
togul,ru,1509314704,53.47,85.91,-1.14,97,92,3.92
lakselv,no,1509313800,70.05,24.97,1.0,74,75,5.7
kaduqli,sd,1509314705,11.02,29.72,22.69,85,0,2.32
pacific grove,us,1509312900,36.62,-121.92,17.0,87,90,1.5
kalmunai,lk,1509314705,7.42,81.82,22.71,100,92,2.07
birao,cf,1509314705,10.28,22.79,24.19,49,0,3.92
puksoozero,ru,1509314706,62.59,40.61,-1.79,91,88,5.37
ruthin,gb,1509313800,53.11,-3.32,6.0,81,20,2.1
mys shmidta,ru,1509314706,47.75,38.03,6.26,97,92,5.57
preobrazheniye,ru,1509314707,42.9,133.91,-1.89,53,0,3.87
ondorhaan,mn,1509314707,47.32,110.66,-10.49,83,0,3.77
ivanteyevka,ru,1509312600,55.97,37.92,6.0,93,90,3.0
kavieng,pg,1509314708,-2.57,150.8,29.11,100,20,2.62
windsor,ca,1509312840,42.3,-83.02,8.0,65,90,2.6
kassala,sd,1509314623,15.45,36.4,22.84,40,0,2.17
vostok,ru,1509314708,46.49,135.88,-6.59,62,0,2.37
novobiryusinskiy,ru,1509314708,56.96,97.71,-1.17,82,0,3.37
carauari,br,1509314709,-4.88,-66.9,30.71,76,64,1.62
goderich,sl,1509314707,43.75,-81.72,8.16,86,68,3.07
chokurdakh,ru,1509314709,70.63,147.92,-27.57,52,24,1.87
dzilam gonzalez,mx,1509314709,21.28,-88.93,25.69,68,68,3.32
gulbene,lv,1509314710,57.18,26.75,0.66,93,68,2.22
kusti,sd,1509310800,49.78,13.25,5.0,80,0,3.1
caravelas,br,1509314710,-17.71,-39.25,25.74,100,36,10.07
zhigansk,ru,1509314711,66.77,123.37,-20.34,81,36,1.22
beringovskiy,ru,1509314711,63.05,179.32,-10.39,100,12,1.17
albany,au,1509314040,42.65,-73.76,17.0,88,90,2.1
labutta,mm,1509314711,16.38,94.45,25.76,100,20,2.97
cabo san lucas,mx,1509309840,22.89,-109.91,31.0,30,5,5.7
dolbeau,ca,1509311700,48.88,-72.21,7.0,100,90,3.1
torbay,ca,1509310800,47.67,-52.73,8.0,87,90,2.1
karasuk,ru,1509314712,53.74,78.04,-5.49,93,0,2.52
yaan,cn,1509310800,24.99,121.3,21.0,68,75,12.9
bobcaygeon,ca,1509311460,44.55,-78.54,6.0,93,90,3.6
luderitz,na,1509314713,-26.65,15.16,15.71,75,0,1.37
alice springs,au,1509312600,-23.7,133.88,21.0,49,0,6.2
phangnga,th,1509312600,8.45,98.53,24.0,94,75,0.5
marawi,sd,1509314714,8.0,124.29,18.36,99,24,0.97
atuona,pf,1509314714,-9.8,-139.03,25.91,100,92,6.17
arraial do cabo,br,1509314714,-22.97,-42.03,23.19,81,64,3.57
cangzhou,cn,1509314715,38.32,116.87,-0.32,59,0,1.27
pocao de pedras,br,1509314715,-4.67,-44.85,31.59,54,8,1.02
borogontsy,ru,1509314715,62.67,131.17,-15.59,62,44,3.87
manado,id,1509310800,1.49,124.85,25.0,94,20,1.0
beloha,mg,1509314716,-25.17,45.05,19.44,60,12,6.92
los llanos de aridane,es,1509312600,28.66,-17.92,22.0,78,40,4.6
karaul,ru,1509314716,58.31,48.35,4.76,97,68,4.82
lorengau,pg,1509314717,-2.02,147.27,28.66,100,32,1.02
kiruna,se,1509312000,67.86,20.23,-6.0,85,0,3.1
kavaratti,in,1509314717,10.57,72.64,29.19,98,0,2.07
faanui,pf,1509314718,-16.48,-151.75,26.96,99,0,6.62
manokwari,id,1509314718,-0.87,134.08,28.36,100,12,1.62
yarmouth,ca,1509312900,41.71,-70.23,18.0,88,90,7.7
tuktoyaktuk,ca,1509313140,69.45,-133.04,-6.0,100,75,3.1
aksu,cn,1509314719,41.12,80.26,-2.07,72,0,1.07
yellowknife,ca,1509310800,62.46,-114.35,-2.0,86,90,1.5
curaca,br,1509314720,-8.99,-39.91,32.94,28,0,3.37
vao,nc,1509314720,-22.67,167.48,21.99,100,92,2.02
yumen,cn,1509314720,40.28,97.2,-1.17,59,0,4.92
sidi ali,dz,1509312600,35.96,10.47,21.0,56,0,6.7
eureka,us,1509313080,40.8,-124.16,13.0,87,90,4.1
lavrentiya,ru,1509314721,65.58,-171.0,-3.59,100,0,3.87
warsaw,us,1509312600,52.23,21.01,4.0,94,20,6.7
bredasdorp,za,1509310800,-34.53,20.04,19.0,88,0,3.6
oistins,bb,1509310800,13.07,-59.53,29.0,74,20,6.7
lesozavodsk,ru,1509314722,45.48,133.42,-3.67,67,0,4.12
vung tau,vn,1509309000,10.35,107.08,24.0,83,75,1.5
emerald,au,1509314722,-23.53,148.17,23.84,75,56,3.87
buenos aires,cr,1509310800,-34.61,-58.38,24.0,83,75,5.7
porto novo,cv,1509310800,17.02,-25.06,28.0,51,20,8.2
ponta do sol,cv,1509312600,32.67,-17.1,21.0,56,20,1.0
zarakes,gr,1509312000,38.18,24.2,17.0,51,20,7.7
isangel,vu,1509314724,-19.55,169.27,24.56,100,0,4.17
esperance,au,1509314724,-33.87,121.9,10.16,81,32,2.02
lebedinyy,ru,1509314724,58.52,125.52,-15.02,73,0,2.27
redmond,us,1509312900,47.67,-122.12,13.0,87,75,2.6
khudumelapye,bw,1509314725,-23.88,24.75,16.81,61,36,6.82
praia,cv,1509310800,14.92,-23.51,29.0,51,0,8.2
townsville,au,1509312600,-19.25,146.8,28.0,69,40,4.6
belaya gora,ru,1509314726,68.53,146.42,-18.82,71,68,3.97
okhtyrka,ua,1509314726,50.31,34.9,6.56,96,92,7.82
liverpool,ca,1509313800,53.41,-2.98,6.0,81,20,2.1
goundam,ml,1509314727,16.41,-3.67,22.09,30,0,4.32
richards bay,za,1509314727,-28.78,32.04,18.34,68,0,6.02
ribeira brava,cv,1509312600,32.65,-17.07,21.0,56,20,1.0
cuenca,es,1509310800,-2.88,-78.98,23.0,43,40,6.7
lloydminster,ca,1509310800,53.28,-110.0,1.0,59,75,12.3
arlit,ne,1509314728,18.74,7.39,16.51,27,32,1.77
porbandar,in,1509314728,21.64,69.61,25.44,69,0,0.82
ribeira grande,pt,1509312600,38.52,-28.7,21.0,94,40,3.1
lasa,cn,1509312000,46.62,10.7,18.0,74,75,2.1
obzor,bg,1509312600,42.82,27.88,13.0,66,75,9.3
sao filipe,cv,1509314729,14.9,-24.5,27.11,95,32,6.37
medak,in,1509314729,18.03,78.27,19.21,91,0,1.97
cape town,za,1509310800,-33.93,18.42,20.0,64,0,7.7
jiddah,sa,1509310800,21.52,39.22,29.0,70,0,3.1
illoqqortoormiut,gl,1509312600,38.53,-28.64,21.0,94,40,3.1
port blair,in,1509314731,11.67,92.75,27.61,100,64,4.72
bilma,ne,1509314548,18.69,12.92,18.11,32,0,2.87
ouadda,cf,1509314731,8.08,22.4,20.99,92,8,1.32
ilulissat,gl,1509313800,69.22,-51.1,-2.0,100,92,1.0
saldanha,za,1509310800,-33.01,17.94,18.0,59,0,0.5
luanda,ao,1509310800,-8.84,13.23,26.0,78,75,3.1
shimoda,jp,1509309120,34.67,138.95,17.0,59,20,9.3
fortuna,us,1509313080,40.6,-124.16,13.0,87,90,4.1
geraldton,au,1509312600,-28.77,114.6,8.0,87,0,3.6
mecca,sa,1509310800,21.43,39.83,30.0,66,0,1.32
don benito,es,1509314733,38.96,-5.86,11.26,66,0,1.17
klaksvik,fo,1509313800,62.23,-6.59,2.0,80,12,0.5
talakan,ru,1509314733,50.32,130.37,-8.92,82,0,2.22
kintinku,tz,1509310800,-5.88,35.23,22.0,60,40,7.7
otaki,nz,1509312600,-40.76,175.15,18.0,72,88,7.2
umm kaddadah,sd,1509314734,13.6,26.69,24.49,23,0,5.17
leningradskiy,ru,1509314734,69.38,178.42,-11.64,100,0,2.87
nanortalik,gl,1509314735,60.14,-45.24,1.49,93,56,1.52
airai,pw,1509313800,60.62,22.58,1.0,97,88,5.1
lubao,cd,1509310800,14.92,120.55,26.0,78,75,2.6
stornoway,gb,1509313800,58.21,-6.39,2.0,96,56,1.87
riyadh,sa,1509310800,24.69,46.72,21.0,22,0,1.0
dogondoutchi,ne,1509314736,13.64,4.03,24.01,39,20,2.92
narsaq,gl,1509313800,60.92,-46.05,1.0,86,0,0.5
sompeta,in,1509314737,18.93,84.6,21.34,86,0,1.22
vaitupu,wf,1509310800,-17.8,-63.17,32.0,62,40,7.7
clemson,us,1509314160,34.68,-82.84,9.0,52,1,6.7
shingu,jp,1509314737,33.73,135.98,19.49,100,20,10.07
zhangjiakou,cn,1509314737,40.81,114.88,-9.19,62,0,1.22
sibut,cf,1509314738,5.72,19.07,23.09,81,12,1.27
meyungs,pw,1509310200,7.34,134.47,26.0,94,75,4.6
qaanaaq,gl,1509314738,77.48,-69.36,-19.32,100,0,3.97
paamiut,gl,1509314738,61.99,-49.67,4.11,90,92,6.57
pisco,pe,1509310800,-13.7,-76.22,21.0,68,0,7.2
sakakah,sa,1509310800,29.97,40.21,24.0,27,90,2.1
talnakh,ru,1509314739,69.49,88.4,-16.34,84,48,1.12
ayan,ru,1509314740,56.45,138.17,-7.99,100,0,6.52
qaqortoq,gl,1509313800,60.72,-46.03,1.0,86,0,0.5
wodonga,au,1509310800,-36.12,146.88,14.0,58,75,3.1
ostrovnoy,ru,1509314741,68.05,39.51,-5.92,88,64,3.47
berbera,so,1509314741,10.44,45.01,18.49,92,0,1.22
tuatapere,nz,1509314741,-46.13,167.68,15.91,74,64,3.52
asau,tv,1509312600,46.43,26.4,11.0,57,20,5.1
inta,ru,1509314742,66.03,60.17,-11.92,86,0,1.02
lolua,tv,1509313800,60.21,24.65,1.0,100,75,6.2
borama,so,1509314743,9.89,43.39,13.34,96,0,2.17
bereda,so,1509314100,51.59,4.78,10.0,86,40,3.1
san ramon,bo,1509312900,37.78,-121.98,24.0,93,90,1.57
kondinskoye,ru,1509314744,59.65,67.41,-8.92,95,0,2.92
the valley,ai,1509310800,18.22,-63.06,29.0,74,20,3.1
bengkulu,id,1509314744,-3.8,102.27,25.71,100,24,2.32
potiskum,ng,1509314744,11.71,11.07,24.76,32,36,3.42
mount gambier,au,1509314745,-37.83,140.77,10.76,80,44,2.42
east london,za,1509314745,-33.02,27.91,22.34,94,56,2.27
biak,id,1509314745,-1.88,136.23,26.81,100,64,2.67
parava,ro,1509312600,46.3,27.0,11.0,57,20,5.1
pangnirtung,ca,1509314746,66.15,-65.71,-6.09,100,88,2.42
sao miguel do araguaia,br,1509314746,-13.28,-50.16,32.19,60,0,1.22
ankang,cn,1509314746,32.68,109.02,6.69,96,88,0.97
awjilah,ly,1509314747,29.11,21.29,15.01,75,8,1.42
marsh harbour,bs,1509314725,26.54,-77.06,25.96,100,0,10.62
eirunepe,br,1509314747,-6.66,-69.87,31.34,68,24,1.22
saint-pierre,pm,1509312600,-21.34,55.48,22.0,68,0,2.6
constitucion,mx,1509314748,-35.33,-72.42,12.44,86,0,3.57
srednekolymsk,ru,1509314748,67.45,153.68,-14.49,81,88,4.77
waipawa,nz,1509312600,-41.41,175.52,18.0,72,12,7.2
bardiyah,ly,1509314749,31.76,25.09,20.61,100,88,7.67
hithadhoo,mv,1509314749,-0.6,73.08,27.56,100,0,1.97
macusani,pe,1509314750,-14.08,-70.43,12.31,100,68,0.57
broken hill,au,1509314750,-31.95,141.43,14.44,41,0,7.72
hobyo,so,1509314750,5.35,48.53,24.69,93,20,2.77
inirida,co,1509314751,3.87,-67.92,29.41,72,76,1.37
kudahuvadhoo,mv,1509314751,2.67,72.89,28.26,100,76,3.87
ovsyanka,ru,1509312600,55.96,92.55,-1.0,68,40,2.0
gat,ly,1509312000,31.61,34.76,21.0,64,0,4.1
nelson bay,au,1509312600,-32.72,152.15,25.0,53,0,3.1
reefton,nz,1509314752,-42.41,171.66,13.49,86,32,0.77
guozhen,cn,1509314752,34.37,107.36,3.24,99,92,0.62
mahibadhoo,mv,1509314753,3.78,72.97,28.46,100,80,4.77
pozo colorado,py,1509314753,-23.5,-58.83,22.36,100,92,2.62
jacareacanga,br,1509314753,-6.22,-57.75,30.81,78,20,0.87
benguela,ao,1509314753,-12.58,13.41,23.46,100,24,2.87
marcona,pe,1509314754,-15.37,-75.16,16.74,93,0,6.57
vega de alatorre,mx,1509314754,20.03,-96.63,21.56,74,80,2.72
new norfolk,au,1509312600,-42.78,147.06,11.0,57,75,6.2
addi ugri,er,1509314755,14.89,38.82,8.11,96,0,0.77
dublin,us,1509312900,37.7,-121.94,21.0,77,40,1.5
jalu,ly,1509309960,20.67,-103.33,26.0,31,40,2.1
aquiraz,br,1509310800,-3.9,-38.39,27.0,74,0,3.6
burnie,au,1509314755,-41.07,145.92,11.31,100,92,6.62
mogadishu,so,1509314756,2.04,45.34,26.61,100,44,4.02
busselton,au,1509314756,-33.65,115.33,11.96,100,0,2.02
ngukurr,au,1509314756,-15.31,134.97,23.46,79,0,2.32
umtata,za,1509310800,-31.59,28.78,20.0,52,92,2.1
yenagoa,ng,1509314757,4.92,6.26,24.11,93,0,2.87
misratah,ly,1509314757,32.38,15.09,18.76,100,0,4.12
nhulunbuy,au,1509312600,-12.23,136.77,26.0,78,0,2.42
sheltozero,ru,1509314758,61.37,35.37,3.44,100,92,7.37
umzimvubu,za,1509314758,-30.55,29.42,9.19,86,0,1.22
kerki,tm,1509313800,60.45,25.58,1.0,100,75,6.2
russell,nz,1509310560,38.9,-98.86,27.0,21,1,7.2
pecos,us,1509314100,31.42,-103.49,26.0,32,1,3.1
